"","trials","subjects","effect_size","parameter","sum_signi","n","alpha_post","beta_post","mean","lower","upper","s_subject","s_trial","s_effectsize"
"1",30,15,0,"Slope",2,100,3,99,0.02,0.00616785954356468,0.0697050897949244,-1.01501409999487,-1.21191996435408,-1.2242240357859
"2",30,15,0,"Threshold",1,100,2,100,0.01,0.00240717290925799,0.0539323474267958,-1.01501409999487,-1.21191996435408,-1.2242240357859
"3",30,15,0.2,"Slope",9,100,10,92,0.09,0.0485087561204066,0.162425609048068,-1.01501409999487,-1.21191996435408,-0.57130455003342
"4",30,15,0.2,"Threshold",6,100,7,95,0.06,0.0283174078149408,0.124826436644333,-1.01501409999487,-1.21191996435408,-0.57130455003342
"5",30,15,0.5,"Slope",17,100,18,84,0.17,0.109180703747434,0.255757852020898,-1.01501409999487,-1.21191996435408,0.4080746785953
"6",30,15,0.5,"Threshold",42,100,43,59,0.42,0.327869879553106,0.518181795671333,-1.01501409999487,-1.21191996435408,0.4080746785953
"7",30,15,0.8,"Slope",50,100,51,51,0.5,0.403643067509507,0.596356932490493,-1.01501409999487,-1.21191996435408,1.38745390722402
"8",30,15,0.8,"Threshold",88,100,89,13,0.88,0.801654936736429,0.929649818526586,-1.01501409999487,-1.21191996435408,1.38745390722402
"9",30,30,0,"Slope",3,100,4,98,0.03,0.0108944837168103,0.0843568982761225,-0.645918063633102,-1.21191996435408,-1.2242240357859
"10",30,30,0,"Threshold",0,100,1,101,0,0.000250639950739215,0.0358646203900037,-0.645918063633102,-1.21191996435408,-1.2242240357859
"11",30,30,0.2,"Slope",11,100,12,90,0.11,0.0629234045328118,0.186520095210926,-0.645918063633102,-1.21191996435408,-0.57130455003342
"12",30,30,0.2,"Threshold",9,100,10,92,0.09,0.0485087561204066,0.162425609048068,-0.645918063633102,-1.21191996435408,-0.57130455003342
"13",30,30,0.5,"Slope",40,100,41,61,0.4,0.309308515690054,0.498255921507435,-0.645918063633102,-1.21191996435408,0.4080746785953
"14",30,30,0.5,"Threshold",78,100,79,23,0.78,0.688996674632469,0.849834616512528,-0.645918063633102,-1.21191996435408,0.4080746785953
"15",30,30,0.8,"Slope",72,100,73,29,0.72,0.624817691862817,0.798544969234152,-0.645918063633102,-1.21191996435408,1.38745390722402
"16",30,30,0.8,"Threshold",100,100,101,1,1,0.964135379609996,0.999749360049261,-0.645918063633102,-1.21191996435408,1.38745390722402
"17",30,60,0,"Slope",3,100,4,98,0.03,0.0108944837168103,0.0843568982761225,0.0922740090904432,-1.21191996435408,-1.2242240357859
