"","trials","subjects","effect_size","parameter","sum_signi","n","alpha_post","beta_post","mean","lower","upper","s_subject","s_trial","s_effectsize"
"1",30,15,0,"Slope",3,100,4,98,0.03,0.0108944837168103,0.0843568982761225,-1.01501409999487,-1.21191996435408,-1.2242240357859
"2",30,15,0,"Threshold",11,100,12,90,0.11,0.0629234045328118,0.186520095210926,-1.01501409999487,-1.21191996435408,-1.2242240357859
"3",30,15,0.2,"Slope",8,100,9,93,0.08,0.0415594702792003,0.150116201005088,-1.01501409999487,-1.21191996435408,-0.57130455003342
"4",30,15,0.2,"Threshold",12,100,13,89,0.12,0.0703501814734137,0.198345063263571,-1.01501409999487,-1.21191996435408,-0.57130455003342
"5",30,15,0.5,"Slope",19,100,20,82,0.19,0.125353745077548,0.278077882604638,-1.01501409999487,-1.21191996435408,0.4080746785953
"6",30,15,0.5,"Threshold",47,100,48,54,0.47,0.374945772487571,0.567323675044749,-1.01501409999487,-1.21191996435408,0.4080746785953
"7",30,15,0.8,"Slope",48,100,49,53,0.48,0.384474174216172,0.577038794908365,-1.01501409999487,-1.21191996435408,1.38745390722402
"8",30,15,0.8,"Threshold",81,100,82,20,0.81,0.721922117395362,0.874646254922452,-1.01501409999487,-1.21191996435408,1.38745390722402
"9",30,30,0,"Slope",2,100,3,99,0.02,0.00616785954356468,0.0697050897949244,-0.645918063633102,-1.21191996435408,-1.2242240357859
"10",30,30,0,"Threshold",11,100,12,90,0.11,0.0629234045328118,0.186520095210926,-0.645918063633102,-1.21191996435408,-1.2242240357859
"11",30,30,0.2,"Slope",8,100,9,93,0.08,0.0415594702792003,0.150116201005088,-0.645918063633102,-1.21191996435408,-0.57130455003342
"12",30,30,0.2,"Threshold",25,100,26,76,0.25,0.175555563083265,0.343348159093023,-0.645918063633102,-1.21191996435408,-0.57130455003342
"13",30,30,0.5,"Slope",38,100,39,63,0.38,0.290905456831946,0.478171630183985,-0.645918063633102,-1.21191996435408,0.4080746785953
"14",30,30,0.5,"Threshold",71,100,72,30,0.71,0.614310561628501,0.78980779350483,-0.645918063633102,-1.21191996435408,0.4080746785953
"15",30,30,0.8,"Slope",73,100,74,28,0.73,0.63537579313092,0.807231281299945,-0.645918063633102,-1.21191996435408,1.38745390722402
"16",30,30,0.8,"Threshold",96,100,97,5,0.96,0.901694981379941,0.983732784889362,-0.645918063633102,-1.21191996435408,1.38745390722402
"17",30,60,0,"Slope",3,100,4,98,0.03,0.0108944837168103,0.0843568982761225,0.0922740090904432,-1.21191996435408,-1.2242240357859
"18",30,60,0,"Threshold",11,100,12,90,0.11,0.0629234045328118,0.186520095210926,0.0922740090904432,-1.21191996435408,-1.2242240357859
"19",30,60,0.2,"Slope",12,100,13,89,0.12,0.0703501814734137,0.198345063263571,0.0922740090904432,-1.21191996435408,-0.57130455003342
"20",30,60,0.2,"Threshold",39,100,40,62,0.39,0.300086952533242,0.48823382540291,0.0922740090904432,-1.21191996435408,-0.57130455003342
"21",30,60,0.5,"Slope",70,100,71,31,0.7,0.603852871352311,0.781021273695966,0.0922740090904432,-1.21191996435408,0.4080746785953
